Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
12346,2026-03-02T11:14:36.725189,73.75,3.36,47.67,55.44,11.54,2.72
10103,2026-03-02T11:15:36.725189,60.52,0.88,14.02,94.03,13.25,3.69
10104,2026-03-02T11:16:36.725189,107.06,2.46,43.56,61.21,12.83,2.1
10111,2026-03-02T11:17:36.725189,67.64,2.59,46.48,71.74,10.8,3.58
10112,2026-03-02T11:18:36.725189,93.59,1.78,15.41,50.4,11.37,3.69
10215,2026-03-02T11:19:36.725189,105.76,3.37,58.84,77.5,13.65,2.86
10216,2026-03-02T11:20:36.725189,38.42,3.57,11.56,99.77,12.2,3.6
10217,2026-03-02T11:21:36.725189,76.29,0.48,17.14,74.22,13.85,4.89
10218,2026-03-02T11:22:36.725189,116.95,3.83,61.53,45.44,12.39,4.0
12345,2026-03-02T11:23:36.725189,66.04,2.47,23.09,43.18,10.98,4.95
12346,2026-03-02T11:24:36.725189,53.43,2.77,71.9,68.11,11.63,3.65
10103,2026-03-02T11:25:36.725189,60.19,1.48,55.09,67.97,12.78,2.28
10104,2026-03-02T11:26:36.725189,90.98,0.48,79.66,76.27,13.5,2.91
10111,2026-03-02T11:27:36.725189,30.06,2.34,37.29,85.19,13.98,3.14
10112,2026-03-02T11:28:36.725189,80.23,0.93,65.07,78.74,11.99,3.75
10215,2026-03-02T11:29:36.725189,87.47,0.19,59.03,78.11,12.31,2.39
10216,2026-03-02T11:30:36.725189,32.92,0.23,31.89,90.24,12.36,2.76
10217,2026-03-02T11:31:36.725189,66.27,1.11,50.15,50.79,11.06,3.48
10218,2026-03-02T11:32:36.725189,115.78,2.12,69.87,65.56,13.72,4.01
12345,2026-03-02T11:33:36.725189,118.9,2.33,13.61,48.52,10.77,4.98
12346,2026-03-02T11:34:36.725189,47.89,1.11,33.01,62.62,13.58,3.57
10103,2026-03-02T11:35:36.725189,81.2,2.42,39.46,67.68,12.41,3.79
10104,2026-03-02T11:36:36.725189,90.58,0.52,32.13,71.51,14.19,2.73
10111,2026-03-02T11:37:36.725189,39.18,2.65,57.67,78.09,12.68,4.74
10112,2026-03-02T11:38:36.725189,40.44,3.68,89.1,81.94,13.05,4.47
10215,2026-03-02T11:39:36.725189,98.78,3.51,48.34,83.07,11.89,4.02
10216,2026-03-02T11:40:36.725189,108.7,2.04,10.19,98.16,12.73,3.63
10217,2026-03-02T11:41:36.725189,56.97,3.97,54.29,98.76,14.05,3.16
10218,2026-03-02T11:42:36.725189,48.51,0.94,14.89,81.19,13.46,4.21
12345,2026-03-02T11:43:36.725189,76.85,1.44,42.93,52.9,12.22,3.93
12346,2026-03-02T11:44:36.725189,85.47,2.15,25.98,53.74,14.05,4.23
10103,2026-03-02T11:45:36.725189,110.62,3.2,71.12,59.58,13.94,2.48
10104,2026-03-02T11:46:36.725189,40.47,0.33,51.33,82.27,11.22,4.8
10111,2026-03-02T11:47:36.725189,55.69,1.57,46.75,42.39,13.82,2.47
10112,2026-03-02T11:48:36.725189,64.38,1.08,53.06,48.86,13.06,2.7
10215,2026-03-02T11:49:36.725189,30.27,2.81,31.47,46.02,12.06,2.39
10216,2026-03-02T11:50:36.725189,81.64,2.9,13.49,48.36,13.17,3.78
10217,2026-03-02T11:51:36.725189,43.5,3.5,76.84,97.84,12.81,4.22
10218,2026-03-02T11:52:36.725189,108.31,0.56,43.58,83.9,12.86,4.61
12345,2026-03-02T11:53:36.725189,81.32,3.59,10.99,42.15,12.23,4.76
12346,2026-03-02T11:54:36.725189,33.83,0.84,56.89,91.72,11.66,3.98
10103,2026-03-02T11:55:36.725189,33.06,0.97,43.69,71.77,13.71,3.0
10104,2026-03-02T11:56:36.725189,40.37,1.17,50.12,58.15,11.14,4.85
10111,2026-03-02T11:57:36.725189,52.27,2.13,22.7,70.62,14.04,2.35
10112,2026-03-02T11:58:36.725189,113.17,3.73,81.48,86.21,11.69,4.11
10215,2026-03-02T11:59:36.725189,38.37,0.13,66.37,94.8,10.98,2.71
10216,2026-03-02T12:00:36.725189,52.99,3.92,57.49,60.87,12.95,3.71
10217,2026-03-02T12:01:36.725189,61.59,1.52,36.35,79.67,14.48,2.24
10218,2026-03-02T12:02:36.725189,118.1,3.93,14.36,58.67,12.62,4.76
12345,2026-03-02T12:03:36.725189,75.48,2.97,16.68,86.88,12.17,3.66
12346,2026-03-02T12:04:36.725189,68.05,3.7,89.11,93.71,13.57,2.02
10103,2026-03-02T12:05:36.725189,106.78,3.43,44.86,92.0,12.77,2.11
10104,2026-03-02T12:06:36.725189,33.14,2.8,77.65,90.01,12.96,2.24
10111,2026-03-02T12:07:36.725189,76.17,3.83,87.8,52.78,12.09,2.22
10112,2026-03-02T12:08:36.725189,117.15,0.85,28.94,48.2,14.13,3.17
10215,2026-03-02T12:09:36.725189,89.67,3.48,62.67,54.96,12.42,3.59
10216,2026-03-02T12:10:36.725189,87.91,1.22,64.48,44.72,14.22,4.6
10217,2026-03-02T12:11:36.725189,108.42,1.97,29.8,89.14,10.77,2.9
10218,2026-03-02T12:12:36.725189,65.86,1.15,50.26,46.52,13.76,2.85
12345,2026-03-02T12:13:36.725189,33.11,2.09,10.73,82.26,12.25,4.0
12346,2026-03-02T12:14:36.725189,71.69,1.85,86.54,88.6,14.26,3.41
10103,2026-03-02T12:15:36.725189,119.64,2.41,89.97,52.48,12.07,3.37
10104,2026-03-02T12:16:36.725189,40.34,3.89,40.93,59.15,13.02,3.08
10111,2026-03-02T12:17:36.725189,105.2,2.13,68.42,64.97,13.99,3.08
10112,2026-03-02T12:18:36.725189,63.53,0.67,43.94,85.11,14.28,2.83
10215,2026-03-02T12:19:36.725189,75.11,3.35,52.1,50.14,11.13,3.75
10216,2026-03-02T12:20:36.725189,112.19,0.77,72.47,42.83,12.13,4.07
10217,2026-03-02T12:21:36.725189,110.21,3.13,84.33,58.08,11.35,4.27
10218,2026-03-02T12:22:36.725189,73.57,3.93,42.63,69.57,10.77,3.19
12345,2026-03-02T12:23:36.725189,118.05,0.34,39.99,77.91,14.03,2.73
12346,2026-03-02T12:24:36.725189,51.68,1.85,54.33,87.14,12.21,3.87
