Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
12345,2026-03-03T10:53:10.579867,101.73,0.12,48.96,74.88,13.23,3.68
12346,2026-03-03T10:54:10.579867,83.57,3.19,30.04,65.47,12.66,4.87
10103,2026-03-03T10:55:10.579867,114.0,1.56,41.51,44.93,12.39,4.51
10104,2026-03-03T10:56:10.579867,70.74,0.37,64.12,47.2,13.43,3.79
10111,2026-03-03T10:57:10.579867,111.62,1.98,89.18,55.04,14.37,4.46
10112,2026-03-03T10:58:10.579867,107.96,2.68,81.44,78.62,11.53,3.15
10215,2026-03-03T10:59:10.579867,118.3,2.95,20.74,89.96,11.4,2.13
10216,2026-03-03T11:00:10.579867,96.33,0.55,83.43,56.46,14.05,3.07
10217,2026-03-03T11:01:10.579867,57.8,3.25,35.53,86.91,13.32,4.72
10218,2026-03-03T11:02:10.579867,61.74,1.72,31.39,81.09,14.17,2.67
12345,2026-03-03T11:03:10.579867,82.68,3.27,83.31,57.66,12.4,4.37
12346,2026-03-03T11:04:10.579867,72.2,1.6,12.83,81.83,13.47,2.7
10103,2026-03-03T11:05:10.579867,53.86,2.0,89.06,91.18,12.87,2.85
10104,2026-03-03T11:06:10.579867,82.38,0.4,15.74,43.21,13.06,4.61
10111,2026-03-03T11:07:10.579867,105.59,1.74,64.93,67.85,10.75,3.73
10112,2026-03-03T11:08:10.579867,74.64,3.3,38.55,56.93,14.4,3.04
10215,2026-03-03T11:09:10.579867,32.43,1.75,35.75,87.37,13.89,3.99
10216,2026-03-03T11:10:10.579867,33.66,1.24,54.46,96.77,12.95,3.64
10217,2026-03-03T11:11:10.579867,105.84,0.68,75.1,71.95,11.36,2.65
10218,2026-03-03T11:12:10.579867,89.18,2.18,37.99,48.03,14.2,4.85
12345,2026-03-03T11:13:10.579867,84.51,1.66,59.7,76.85,13.86,2.58
12346,2026-03-03T11:14:10.579867,50.15,1.11,27.35,88.49,12.31,3.65
10103,2026-03-03T11:15:10.579867,54.08,0.21,20.9,56.14,13.01,4.68
10104,2026-03-03T11:16:10.579867,96.22,2.16,11.11,41.61,11.07,4.11
10111,2026-03-03T11:17:10.579867,71.79,1.59,63.26,40.65,12.54,2.12
10112,2026-03-03T11:18:10.579867,56.6,1.92,77.9,62.48,13.25,2.71
10215,2026-03-03T11:19:10.579867,37.83,2.29,40.13,84.3,12.5,4.93
10216,2026-03-03T11:20:10.579867,69.14,3.82,13.4,72.45,11.96,4.35
10217,2026-03-03T11:21:10.579867,56.28,3.74,60.12,65.29,13.58,4.44
10218,2026-03-03T11:22:10.579867,114.44,2.84,39.03,66.89,13.53,4.61
12345,2026-03-03T11:23:10.579867,51.96,3.3,85.89,79.19,13.59,2.06
12346,2026-03-03T11:24:10.579867,98.26,1.41,37.45,89.12,12.15,3.75
10103,2026-03-03T11:25:10.579867,44.9,2.17,32.46,76.88,12.96,4.58
10104,2026-03-03T11:26:10.579867,39.75,3.61,13.27,95.67,12.43,3.38
10111,2026-03-03T11:27:10.579867,47.6,3.82,63.18,65.52,11.48,4.08
10112,2026-03-03T11:28:10.579867,75.03,1.8,62.74,78.81,11.96,2.21
10215,2026-03-03T11:29:10.579867,80.14,1.22,78.29,44.51,12.58,3.23
10216,2026-03-03T11:30:10.579867,35.51,0.16,81.84,81.61,11.92,4.68
10217,2026-03-03T11:31:10.579867,40.91,1.5,70.6,46.76,12.01,3.07
10218,2026-03-03T11:32:10.579867,79.62,2.95,41.39,50.17,10.53,3.13
12345,2026-03-03T11:33:10.579867,97.58,3.1,53.3,60.64,12.96,3.83
12346,2026-03-03T11:34:10.579867,104.75,3.53,19.83,67.76,12.11,3.07
10103,2026-03-03T11:35:10.579867,96.56,3.42,15.56,68.91,13.15,3.3
10104,2026-03-03T11:36:10.579867,70.55,1.82,46.49,90.04,13.16,2.13
10111,2026-03-03T11:37:10.579867,93.8,0.36,49.25,75.3,14.14,3.81
10112,2026-03-03T11:38:10.579867,36.72,3.64,49.73,41.38,12.05,4.58
10215,2026-03-03T11:39:10.579867,44.64,0.51,52.61,73.86,13.91,2.55
10216,2026-03-03T11:40:10.579867,88.48,0.39,56.84,72.96,13.59,3.72
10217,2026-03-03T11:41:10.579867,55.1,3.6,23.98,54.34,11.69,4.76
10218,2026-03-03T11:42:10.579867,66.43,0.6,87.81,52.4,13.76,2.61
12345,2026-03-03T11:43:10.579867,79.11,1.6,71.25,56.26,13.02,4.45
12346,2026-03-03T11:44:10.579867,117.78,3.84,88.87,75.74,11.53,3.92
10103,2026-03-03T11:45:10.579867,113.63,0.38,18.84,52.19,12.75,2.72
10104,2026-03-03T11:46:10.579867,71.0,1.65,78.99,66.46,12.9,2.49
10111,2026-03-03T11:47:10.579867,68.04,2.99,39.06,45.36,14.23,4.1
10112,2026-03-03T11:48:10.579867,114.73,1.13,74.22,56.24,14.22,3.79
10215,2026-03-03T11:49:10.579867,74.74,0.81,68.47,83.88,10.83,2.04
10216,2026-03-03T11:50:10.579867,73.05,0.37,21.62,75.08,12.71,2.93
10217,2026-03-03T11:51:10.579867,103.11,1.5,50.69,46.35,12.16,4.82
10218,2026-03-03T11:52:10.579867,110.48,2.31,22.29,66.22,10.64,4.64
12345,2026-03-03T11:53:10.579867,101.75,3.03,67.22,59.79,14.46,3.46
12346,2026-03-03T11:54:10.579867,100.81,3.37,15.72,87.51,11.77,2.97
10103,2026-03-03T11:55:10.579867,117.56,0.46,49.68,70.33,10.78,2.39
10104,2026-03-03T11:56:10.579867,85.15,2.04,23.34,90.06,12.68,4.54
10111,2026-03-03T11:57:10.579867,102.13,2.88,45.16,91.65,12.61,4.61
10112,2026-03-03T11:58:10.579867,57.48,1.08,18.16,49.02,14.11,3.32
10215,2026-03-03T11:59:10.579867,45.94,3.2,40.28,56.54,11.45,3.82
10216,2026-03-03T12:00:10.579867,80.69,0.23,19.65,85.53,11.84,2.11
10217,2026-03-03T12:01:10.579867,86.47,3.98,24.06,71.81,11.94,2.45
10218,2026-03-03T12:02:10.579867,78.49,1.14,89.83,54.27,10.77,3.33
12345,2026-03-03T12:03:10.579867,80.23,3.26,61.5,90.83,13.3,4.79
12346,2026-03-03T12:04:10.579867,52.61,2.43,12.01,97.76,13.13,2.52
