Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
10112,2026-03-02T11:15:43.331400,62.97,3.14,39.91,52.3,12.52,3.01
10215,2026-03-02T11:16:43.331400,118.25,3.78,55.61,71.64,13.08,2.72
10216,2026-03-02T11:17:43.331400,54.77,0.64,83.47,91.89,12.49,4.23
10217,2026-03-02T11:18:43.331400,51.22,1.51,77.56,77.86,14.17,2.78
10218,2026-03-02T11:19:43.331400,98.75,1.55,81.31,51.86,12.77,3.37
12345,2026-03-02T11:20:43.331400,109.21,0.7,55.85,91.91,12.52,2.08
12346,2026-03-02T11:21:43.331400,102.23,1.18,63.88,48.28,12.83,3.11
10103,2026-03-02T11:22:43.331400,95.23,1.24,18.74,84.76,13.08,4.36
10104,2026-03-02T11:23:43.331400,38.06,3.56,52.27,97.67,11.7,2.72
10111,2026-03-02T11:24:43.331400,49.96,0.37,32.05,81.41,13.04,4.65
10112,2026-03-02T11:25:43.331400,84.28,1.75,44.43,85.48,12.16,3.14
10215,2026-03-02T11:26:43.331400,34.66,1.89,83.97,91.46,13.41,4.96
10216,2026-03-02T11:27:43.331400,114.27,1.53,56.07,90.31,13.95,2.06
10217,2026-03-02T11:28:43.331400,111.15,2.77,56.22,68.37,12.07,3.87
10218,2026-03-02T11:29:43.331400,44.58,3.33,71.29,89.84,13.04,4.25
12345,2026-03-02T11:30:43.331400,90.96,0.34,56.88,86.09,13.85,4.33
12346,2026-03-02T11:31:43.331400,103.27,1.04,16.83,99.73,11.77,4.57
10103,2026-03-02T11:32:43.331400,65.83,2.91,14.76,50.14,12.97,3.31
10104,2026-03-02T11:33:43.331400,52.44,3.41,53.67,84.53,12.91,4.8
10111,2026-03-02T11:34:43.331400,80.15,3.77,42.77,79.57,11.02,4.06
10112,2026-03-02T11:35:43.331400,51.3,1.0,33.33,73.7,13.06,4.55
10215,2026-03-02T11:36:43.331400,72.81,3.53,53.56,87.0,13.63,4.84
10216,2026-03-02T11:37:43.331400,45.99,3.49,73.38,49.72,10.77,3.65
10217,2026-03-02T11:38:43.331400,71.96,1.95,41.24,77.4,12.04,2.36
10218,2026-03-02T11:39:43.331400,94.63,0.3,25.06,45.21,13.18,2.91
12345,2026-03-02T11:40:43.331400,70.25,1.83,24.8,52.01,11.86,2.08
12346,2026-03-02T11:41:43.331400,57.89,2.93,31.93,40.92,12.21,3.75
10103,2026-03-02T11:42:43.331400,101.75,3.42,69.14,72.59,13.28,2.5
10104,2026-03-02T11:43:43.331400,40.97,3.78,50.16,56.7,14.17,3.09
10111,2026-03-02T11:44:43.331400,33.42,3.85,61.21,74.62,12.23,2.24
10112,2026-03-02T11:45:43.331400,104.06,0.25,59.04,79.89,10.97,3.71
10215,2026-03-02T11:46:43.331400,83.94,1.74,39.23,41.29,12.53,4.3
10216,2026-03-02T11:47:43.331400,89.33,1.09,25.41,80.09,11.19,3.37
10217,2026-03-02T11:48:43.331400,109.21,3.08,25.05,91.52,12.56,4.13
10218,2026-03-02T11:49:43.331400,77.14,2.64,67.72,44.76,12.68,4.02
12345,2026-03-02T11:50:43.331400,101.96,0.46,59.34,60.67,13.91,3.36
12346,2026-03-02T11:51:43.331400,67.93,2.32,77.91,80.09,14.36,4.71
10103,2026-03-02T11:52:43.331400,106.19,1.13,77.55,84.98,13.79,3.27
10104,2026-03-02T11:53:43.331400,90.24,0.86,38.38,90.87,13.03,4.49
10111,2026-03-02T11:54:43.331400,80.46,1.85,20.65,58.17,11.19,4.42
10112,2026-03-02T11:55:43.331400,61.52,0.73,41.12,85.59,13.41,3.45
10215,2026-03-02T11:56:43.331400,81.84,0.94,63.71,99.27,11.66,3.2
10216,2026-03-02T11:57:43.331400,93.85,1.11,16.98,84.73,11.56,4.74
10217,2026-03-02T11:58:43.331400,53.0,1.87,16.2,85.55,11.36,3.72
10218,2026-03-02T11:59:43.331400,37.93,2.31,16.88,82.69,11.17,3.66
12345,2026-03-02T12:00:43.331400,47.96,1.37,16.8,91.1,14.35,4.51
12346,2026-03-02T12:01:43.331400,92.36,3.21,29.26,68.22,14.38,4.04
10103,2026-03-02T12:02:43.331400,71.21,1.35,75.89,52.42,11.25,4.33
10104,2026-03-02T12:03:43.331400,45.53,3.86,85.35,98.84,12.39,3.14
10111,2026-03-02T12:04:43.331400,38.73,2.68,19.83,59.2,12.54,3.19
10112,2026-03-02T12:05:43.331400,40.65,3.12,42.11,56.09,14.46,2.93
10215,2026-03-02T12:06:43.331400,45.74,2.58,59.72,55.96,11.36,3.03
10216,2026-03-02T12:07:43.331400,50.53,0.36,42.76,51.17,11.42,3.64
10217,2026-03-02T12:08:43.331400,68.35,0.77,40.16,46.82,13.48,2.35
10218,2026-03-02T12:09:43.331400,35.16,1.29,32.05,64.18,12.95,4.33
12345,2026-03-02T12:10:43.331400,38.71,1.1,33.14,79.22,13.83,3.35
12346,2026-03-02T12:11:43.331400,117.09,0.24,89.64,66.85,11.99,4.22
10103,2026-03-02T12:12:43.331400,79.39,3.07,80.85,91.3,11.72,4.84
10104,2026-03-02T12:13:43.331400,76.35,1.83,43.26,49.77,14.4,3.03
10111,2026-03-02T12:14:43.331400,45.42,2.43,80.73,56.59,10.52,3.4
10112,2026-03-02T12:15:43.331400,110.45,3.86,65.77,40.41,13.86,3.92
10215,2026-03-02T12:16:43.331400,36.51,1.38,26.89,71.28,12.31,2.34
10216,2026-03-02T12:17:43.331400,96.95,1.73,40.23,94.09,11.52,3.9
10217,2026-03-02T12:18:43.331400,101.54,1.43,65.86,67.31,11.05,4.52
10218,2026-03-02T12:19:43.331400,83.47,3.81,55.79,90.47,14.19,4.68
12345,2026-03-02T12:20:43.331400,66.06,1.07,84.28,56.65,13.72,2.46
12346,2026-03-02T12:21:43.331400,63.15,3.99,37.32,53.1,13.58,4.54
10103,2026-03-02T12:22:43.331400,112.45,0.54,69.51,77.42,10.99,4.6
10104,2026-03-02T12:23:43.331400,61.19,1.37,29.94,60.88,13.23,3.04
10111,2026-03-02T12:24:43.331400,44.94,0.74,27.85,58.76,13.23,2.65
10112,2026-03-02T12:25:43.331400,37.34,1.54,49.47,51.75,10.69,4.68
10215,2026-03-02T12:26:43.331400,70.83,1.02,30.81,45.82,13.7,3.55
10216,2026-03-02T12:27:43.331400,103.2,3.07,41.97,51.64,11.11,4.45
10217,2026-03-02T12:28:43.331400,88.28,3.58,46.71,79.2,12.39,4.32
10218,2026-03-02T12:29:43.331400,102.46,2.65,33.95,99.78,13.36,4.37
12345,2026-03-02T12:30:43.331400,46.96,1.82,32.86,92.02,11.13,3.05
12346,2026-03-02T12:31:43.331400,103.82,3.27,28.19,70.8,12.1,2.14
