Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
10218,2026-03-02T11:12:20.850743,52.97,3.01,32.09,76.91,10.56,4.73
12345,2026-03-02T11:13:20.850743,99.12,2.95,51.23,83.58,14.07,3.23
12346,2026-03-02T11:14:20.850743,30.22,1.78,60.99,56.07,11.89,2.59
10103,2026-03-02T11:15:20.850743,64.8,0.17,56.5,62.5,11.31,3.42
10104,2026-03-02T11:16:20.850743,42.58,2.62,63.3,78.64,11.9,4.31
10111,2026-03-02T11:17:20.850743,94.46,3.43,89.13,78.31,11.1,3.72
10112,2026-03-02T11:18:20.850743,116.26,0.9,26.65,54.28,12.42,3.03
10215,2026-03-02T11:19:20.850743,65.63,1.37,36.08,46.12,12.0,2.96
10216,2026-03-02T11:20:20.850743,58.91,2.52,85.5,88.9,13.3,2.78
10217,2026-03-02T11:21:20.850743,99.18,0.62,71.81,65.9,14.42,2.34
10218,2026-03-02T11:22:20.850743,90.45,1.32,79.57,60.38,14.17,2.55
12345,2026-03-02T11:23:20.850743,71.2,0.92,50.62,55.11,14.35,3.13
12346,2026-03-02T11:24:20.850743,59.23,2.15,24.5,53.46,14.32,3.02
10103,2026-03-02T11:25:20.850743,68.83,1.29,81.97,60.38,14.34,2.95
10104,2026-03-02T11:26:20.850743,54.45,1.65,18.8,94.05,10.65,3.14
10111,2026-03-02T11:27:20.850743,106.7,2.01,46.15,89.57,10.84,3.48
10112,2026-03-02T11:28:20.850743,56.35,3.94,14.96,86.38,10.63,3.66
10215,2026-03-02T11:29:20.850743,100.03,3.49,50.05,57.81,10.93,3.74
10216,2026-03-02T11:30:20.850743,115.32,0.97,17.58,70.28,12.31,4.47
10217,2026-03-02T11:31:20.850743,111.61,3.19,23.97,58.03,11.32,4.91
10218,2026-03-02T11:32:20.850743,75.36,2.64,12.14,64.61,12.43,2.66
12345,2026-03-02T11:33:20.850743,116.71,0.11,54.35,65.04,12.36,4.95
12346,2026-03-02T11:34:20.850743,60.07,0.96,59.17,63.43,12.8,2.08
10103,2026-03-02T11:35:20.850743,88.65,1.41,47.43,46.13,14.31,4.55
10104,2026-03-02T11:36:20.850743,109.39,1.32,71.97,47.79,12.08,2.5
10111,2026-03-02T11:37:20.850743,70.91,3.09,35.2,47.66,12.73,4.56
10112,2026-03-02T11:38:20.850743,88.86,2.99,54.0,85.44,14.28,3.9
10215,2026-03-02T11:39:20.850743,45.15,1.5,66.72,63.19,11.95,2.55
10216,2026-03-02T11:40:20.850743,70.51,0.24,66.74,76.17,11.47,2.07
10217,2026-03-02T11:41:20.850743,46.63,2.94,56.98,92.29,10.92,4.47
10218,2026-03-02T11:42:20.850743,61.35,0.71,47.6,95.99,11.57,4.5
12345,2026-03-02T11:43:20.850743,40.57,1.85,73.93,53.0,12.05,3.25
12346,2026-03-02T11:44:20.850743,116.38,1.34,66.92,91.34,13.02,2.34
10103,2026-03-02T11:45:20.850743,43.85,1.1,76.24,98.18,14.42,3.72
10104,2026-03-02T11:46:20.850743,46.35,0.2,11.2,79.12,13.41,4.01
10111,2026-03-02T11:47:20.850743,38.45,1.74,42.2,66.73,12.43,3.97
10112,2026-03-02T11:48:20.850743,96.01,3.44,75.88,89.11,13.04,2.16
10215,2026-03-02T11:49:20.850743,82.29,3.63,15.02,71.81,12.32,3.31
10216,2026-03-02T11:50:20.850743,62.77,1.38,73.28,44.43,13.46,3.96
10217,2026-03-02T11:51:20.850743,102.84,3.44,76.4,78.79,13.91,4.1
10218,2026-03-02T11:52:20.850743,76.89,0.96,55.1,69.68,11.39,4.35
12345,2026-03-02T11:53:20.850743,59.58,1.55,88.02,85.53,11.49,2.86
12346,2026-03-02T11:54:20.850743,110.18,1.54,12.06,85.56,11.21,4.66
10103,2026-03-02T11:55:20.850743,57.59,2.91,54.65,93.31,12.7,2.24
10104,2026-03-02T11:56:20.850743,116.91,3.93,86.68,43.81,14.05,4.98
10111,2026-03-02T11:57:20.850743,108.55,2.7,60.53,41.47,13.65,2.14
10112,2026-03-02T11:58:20.850743,74.79,2.27,52.6,40.45,11.73,4.07
10215,2026-03-02T11:59:20.850743,95.16,1.66,12.33,91.97,14.47,4.95
10216,2026-03-02T12:00:20.850743,50.45,3.1,18.51,89.78,13.71,3.38
10217,2026-03-02T12:01:20.850743,82.33,3.67,34.91,77.45,11.79,2.19
10218,2026-03-02T12:02:20.850743,77.15,1.12,18.98,51.56,12.67,4.97
12345,2026-03-02T12:03:20.850743,48.63,2.48,73.43,51.58,13.07,2.4
12346,2026-03-02T12:04:20.850743,106.25,3.55,51.96,52.04,13.18,4.23
10103,2026-03-02T12:05:20.850743,76.64,0.46,70.94,99.79,12.29,2.7
10104,2026-03-02T12:06:20.850743,114.9,2.08,81.43,46.16,12.62,2.42
10111,2026-03-02T12:07:20.850743,65.54,0.6,86.21,90.48,11.01,2.92
10112,2026-03-02T12:08:20.850743,67.7,3.5,45.51,92.73,11.88,4.87
10215,2026-03-02T12:09:20.850743,66.55,1.43,61.74,42.47,12.78,3.62
10216,2026-03-02T12:10:20.850743,98.45,3.15,23.48,46.61,14.16,2.38
10217,2026-03-02T12:11:20.850743,67.84,1.85,80.18,82.63,13.44,2.59
10218,2026-03-02T12:12:20.850743,84.52,1.71,62.88,66.87,10.99,4.75
12345,2026-03-02T12:13:20.850743,95.66,0.42,47.1,52.27,13.7,2.09
12346,2026-03-02T12:14:20.850743,81.25,0.56,40.08,57.59,12.01,4.39
10103,2026-03-02T12:15:20.850743,39.46,3.77,82.36,53.65,13.78,4.3
10104,2026-03-02T12:16:20.850743,88.62,0.77,83.94,49.34,10.9,2.96
10111,2026-03-02T12:17:20.850743,97.51,1.86,53.05,68.2,13.7,4.15
10112,2026-03-02T12:18:20.850743,64.08,2.12,88.15,47.17,13.95,3.12
10215,2026-03-02T12:19:20.850743,113.77,2.13,55.14,77.73,13.35,2.26
10216,2026-03-02T12:20:20.850743,82.27,1.96,38.54,95.84,12.14,2.97
10217,2026-03-02T12:21:20.850743,114.78,1.23,27.5,51.02,14.09,2.83
10218,2026-03-02T12:22:20.850743,117.85,3.3,16.9,47.41,10.98,4.99
12345,2026-03-02T12:23:20.850743,102.43,2.8,45.3,41.68,11.59,3.35
12346,2026-03-02T12:24:20.850743,48.15,2.38,62.12,47.81,12.92,3.47
